index,Release,Category,AN Type,Initial Published Date,Latest Published Date,Earliest Effective Date,AN Reference Number,Announcement Title,Announcement Short Description,"Announcement Applies To
(applies to who)","Applicable Geography
(applies to where)",Mandate Flag,Testing Required,Action Indicators,Systems Impacted,"Entitled Viewers

Audiences and Geographies who may view in TRC",G_values,Links
780,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31, 2023-12-05, 2023-12-31",AN 7800,AN 7800 Introducing New Network Distribution Reports and Services and Associated Pricing for the Philippines,"Mastercard is providing its customers in Philippines certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Acquirer, Issuer, Processor",Philippines,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7800,https://techdocs.mastercard.com/bundle/m_an7800_en-us
781,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31, 2023-12-05, 2023-12-31",AN 7801,AN 7801 Introducing New Network Distribution Reports and Services and Associated Pricing for Malaysia,"Mastercard is providing its customers in Malaysia certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Acquirer, Issuer, Processor",Malaysia,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7801,https://techdocs.mastercard.com/bundle/m_an7801_en-us
782,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31, 2023-12-05, 2023-12-31",AN 7806,AN 7806 Introducing New Network Distribution Reports and Services and Associated Pricing for Vietnam,"Mastercard is providing its customers in Vietnam certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Acquirer, Issuer, Processor",Vietnam,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7806,https://techdocs.mastercard.com/bundle/m_an7806_en-us
783,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31, 2023-12-05, 2023-12-31",AN 7807,AN 7807 Introducing New Network Distribution Reports and Services and Associated Pricing for Thailand,"Mastercard is providing its customers in Thailand certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Acquirer, Issuer, Processor",Thailand,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7807,https://techdocs.mastercard.com/bundle/m_an7807_en-us
784,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31",AN 7809,AN 7809 Introducing New Network Distribution Reports and Services and Associated Pricing for Nepal,"Mastercard is providing its customers in Nepal certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Acquirer, Issuer, Processor",Nepal,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7809,https://techdocs.mastercard.com/bundle/m_an7809_en-us
785,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-12-05, 2023-12-31",AN 7798,AN 7798 Introducing New Network Distribution Reports and Services and Associated Pricing for Taiwan,"Mastercard is providing its customers in Taiwan certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Issuer, Processor",Taiwan,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_processor",AN 7798,https://techdocs.mastercard.com/bundle/m_an7798_en-us
786,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-12-05, 2023-12-31",AN 7803,AN 7803 Introducing New Network Distribution Reports and Services and Associated Pricing for Indonesia,"Mastercard is providing its customers in Indonesia certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Issuer, Processor",Indonesia,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_processor",AN 7803,https://techdocs.mastercard.com/bundle/m_an7803_en-us
787,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31, 2023-12-05, 2023-12-31",AN 7802,AN 7802 Introducing New Network Distribution Reports and Services and Associated Pricing for Hong Kong SAR,"Mastercard is providing its customers in Hong Kong SAR certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Acquirer, Issuer, Processor",Hong Kong SAR,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7802,https://techdocs.mastercard.com/bundle/m_an7802_en-us
788,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31",AN 7805,AN 7805 Introducing New Network Distribution Reports and Services and Associated Pricing for Macao SAR,"Mastercard is providing its customers in Macao SAR certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Acquirer, Issuer, Processor",Macao SAR,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_acquirer, audience_principal_issuer, audience_processor",AN 7805,https://techdocs.mastercard.com/bundle/m_an7805_en-us
789,--,Pricing/Fees,Bulletin Announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-05, 2023-10-31, 2023-12-05, 2023-12-31",AN 7799,AN 7799 Introducing New Network Distribution Reports and Services and Associated Pricing for India,"Mastercard is providing its customers in India certain complimentary services and reports for a three-month period. For customers that do not elect to opt-out of receiving the service or report following the end of the complimentary three-month trial period, Mastercard will bill in accordance with the Billing and pricing information section.","Acquirer, Issuer, Processor",India,No,No,Financial impact,Mastercard Consolidated Billing System,"audience_internal, audience_principal_issuer, audience_principal_acquirer, audience_processor",AN 7799,https://techdocs.mastercard.com/bundle/m_an7799_en-us
792,--,Pricing/Fees,Bulletin announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2024-01-08, 2024-01-14",AN 7857,AN 7857 Revised Pricing for Negative Listing in Japan,Mastercard is revising the rate for negative listing service in Japan.,"Issuer, Processor",Japan,No,No,"Attention warranted (program/service-related), Financial impact","Account Management System, Mastercard Consolidated Billing System","audience_internal, audience_principal_issuer, audience_processor",AN 7857,https://techdocs.mastercard.com/bundle/m_an7857_en-us
795,--,Pricing/Fees,Bulletin Announcement,2022-08-23 00:00:00,2023-05-30 00:00:00,NaN,AN 6403,AN 6403 Revised Mastercard Stand-In Authorization Pricing in Brazil,Mastercard is revising pricing for Mastercard Stand-In Authorization for issuers in Brazil.,"Issuer, Processor",Brazil,Yes,No,Network Mandate,"Authorization, Settlement","audience_internal, audience_principal_issuer, audience_processor",AN 6403,https://techdocs.mastercard.com/bundle/m_AN6403
796,--,Pricing/Fees,Bulletin announcement,2023-05-30 00:00:00,2023-05-30 00:00:00,"2023-07-01, 2023-10-01, 2023-10-31",AN 7850,AN 7850 Availability of Enhanced Services & Support With Opt-Out Option for Issuers in Libya,"Mastercard is announcing the launch of Enhanced Services & Support (ES&S) on an opt-out basis for issuers in Libya, available 1 July 2023, with a free trial period of three months.","Issuer, Processor",Libya,No,No,Financial impact,"Authorization, Mastercard Consolidated Billing System","audience_internal, audience_principal_issuer, audience_processor",AN 7850,https://techdocs.mastercard.com/bundle/m_an7850_en-us
801,--,Pricing/Fees,Bulletin announcement,2023-06-06 00:00:00,2023-06-06 00:00:00,"2023-06-15, 2023-10-01, 2024-01-28",AN 7861,AN 7861 Introduction of Crypto Secure in Mexico,Mastercard is introducing Crypto Secure to help issuers mitigate risk from crypto transactions and secure the Mastercard network.,"Issuer, Processor",Mexico,No,No,Financial impact,"Authorization, Clearing, Mastercard Consolidated Billing System","audience_internal, audience_principal_issuer, audience_processor",AN 7861,https://techdocs.mastercard.com/bundle/m_an7861_en-us
804,--,Pricing/Fees,Bulletin Announcement,2023-06-06 00:00:00,2023-06-06 00:00:00,"2023-10-02, 2024-01-14",AN 7818,AN 7818 Revised Mastercard Acquirer Acceptance Development Fund Pricing in the Pacific Islands,Mastercard is revising the Acceptance Development Fund pricing in the Pacific Islands.,Acquirer,Applicable countries and territories,No,No,"Attention warranted (Program/service-related), Financial impact, Testing recommended",Mastercard Consolidated Billing System,"audience_internal, audience_principal_acquirer",AN 7818,https://techdocs.mastercard.com/bundle/m_an7818_en-us
805,--,Pricing/Fees,Bulletin Announcement,2023-06-06 00:00:00,2023-06-06 00:00:00,2023-09-04 00:00:00,AN 7838,AN 7838 Acquiring Cross Border Assessment Fee Update for Select Countries in the Middle East/Africa Region,Mastercard is updating the rates to its Cross-Border Volume Assessments for purchase transactions in local currency for acquirers in select countries in the Middle East/Africa region.,Acquirer,Select countries in the Middle East/Africa region,No,No,"Attention warranted (Brand -related), Attention warranted (Network-related)",Mastercard Consolidated Billing System,"audience_internal, audience_principal_acquirer",AN 7838,https://techdocs.mastercard.com/bundle/m_an7838_en-us
806,--,Pricing/Fees,Bulletin Announcement,2023-06-06 00:00:00,2023-06-06 00:00:00,"2023-06-06, 2023-08-30, 2023-10-15, 2024-01-29, 2024-02-04",AN 7793,AN 7793 Cross Border Fee Manager (CBFM) Plus for Brazil,Mastercard is launching CBFM Plus (Cross Border Fee Manager Plus) in the Latin America and the Caribbean region to provide greater financial risk mitigation capabilities to issuers through Mastercard's proprietary technology and expertise and facilitating a data-driven approach for our customers.,Issuer,Brazil,No,No,"Attention warranted (Brand-related), Financial impact","Authorization, Clearing, Mastercard Consolidated Billing System","audience_internal, audience_principal_issuer",AN 7793,https://techdocs.mastercard.com/bundle/m_an7793_en-us
807,--,Pricing/Fees,Bulletin Announcement,2023-06-06 00:00:00,2023-06-06 00:00:00,"2023-06-06, 2023-08-30, 2023-10-15, 2024-01-29, 2024-02-04",AN 7794,"AN 7794 Cross Border Fee Manager (CBFM) Plus for Customers in the Latin America and the Caribbean Region (except Brazil, Puerto Rico, and U.S. Virgin Islands)",Mastercard is launching CBFM Plus (Cross Border Fee Manager Plus) in the Latin America and the Caribbean region to provide greater financial risk mitigation capabilities to issuers through Mastercard's proprietary technology and expertise and facilitating a data-driven approach for our customers.,Issuer,"Latin America and the Caribbean (excluding Brazil, Puerto Rico, and U.S. Virgin Islands)",No,No,"Attention warranted (Brand-related), Financial impact","Authorization, Clearing, Mastercard Consolidated Billing System","audience_internal, audience_principal_issuer",AN 7794,https://techdocs.mastercard.com/bundle/m_an7794_en-us
810,--,Pricing/Fees,Bulletin Announcement,2023-06-06 00:00:00,2023-06-06 00:00:00,"2023-09-04, 2023-09-10",AN 7839,AN 7839 Acquiring Cross Border Assessment Fee Update for the United Arab Emirates,Mastercard is updating the acquiring rates to its Cross-Border Volume Assessments for purchase and ATM/Cash transactions in foreign currency along with Cross-Border Volume Assessments for purchase transactions in local currency in the United Arab Emirates (UAE).,Acquirer,United Arab Emirates,No,No,"Attention warranted (Brand-related), Attention warranted (Network-related)",NaN,"audience_internal, audience_principal_acquirer",AN 7839,https://techdocs.mastercard.com/bundle/m_an7839_en-us
